City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Muhos,64.808,25.9931,24.01,54,0,3.44,FI,1616159207
Srīvardhan,18.0333,73.0167,82.83,52,0,13.15,IN,1616159208
Saskylakh,71.9167,114.0833,-28.75,95,0,8.12,RU,1616159146
Vaini,-21.2,-175.2,75.2,94,20,2.3,TO,1616159151
Saint-Philippe,-21.3585,55.7679,82.99,74,90,23.02,RE,1616159130
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
Mar del Plata,-38.0023,-57.5575,61.0,82,0,11.5,AR,1616159188
Mangochi,-14.4782,35.2645,81.23,78,67,3.13,MW,1616159209
San Quintín,30.4833,-115.95,54.73,87,0,9.19,MX,1616159209
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Yellowknife,62.456,-114.3525,14.0,79,40,9.22,CA,1616159210
Moncarapacho,37.0886,-7.7872,64.4,34,0,12.66,PT,1616159210
Qaanaaq,77.484,-69.3632,-10.03,76,100,4.07,GL,1616159144
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Tarnogskiy Gorodok,60.4997,43.5761,26.04,91,100,7.0,RU,1616159211
Jackson,42.4165,-122.8345,37.0,93,20,3.09,US,1616159211
Hobart,-42.8794,147.3294,60.01,87,0,4.59,AU,1616159087
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Am Timan,11.0297,20.2827,104.68,15,97,9.89,TD,1616159212
Tual,-5.6667,132.75,84.2,68,26,7.4,ID,1616159212
Khatanga,71.9667,102.5,-29.51,96,100,5.53,RU,1616159136
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Tyazhinskiy,56.116,88.524,21.81,88,99,8.99,RU,1616159213
Barrow,71.2906,-156.7887,-4.0,71,90,3.44,US,1616159149
Padang,-0.9492,100.3543,80.6,83,75,1.14,ID,1616158908
Katangli,51.7102,143.2326,12.18,80,66,7.54,RU,1616159213
Bethel,41.3712,-73.414,28.99,40,1,16.11,US,1616159205
Hithadhoo,-0.6,73.0833,81.64,76,100,14.92,MV,1616159156
Vardø,70.3705,31.1107,23.0,80,75,37.98,NO,1616159214
Los Llanos de Aridane,28.6585,-17.9182,69.8,64,20,13.8,ES,1616159214
Broome,42.2506,-75.833,24.01,53,1,19.57,US,1616159215
Port Alfred,-33.5906,26.891,71.96,78,94,16.28,ZA,1616159215
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
Bathsheba,13.2167,-59.5167,80.6,57,40,14.97,BB,1616159215
Hasaki,35.7333,140.8333,51.8,71,75,5.75,JP,1616159198
Butaritari,3.0707,172.7902,80.94,80,100,8.86,KI,1616159141
Cidreira,-30.1811,-50.2056,73.4,67,99,7.16,BR,1616159216
Bambous Virieux,-20.3428,57.7575,84.2,70,40,9.22,MU,1616159216
Mahibadhoo,3.7833,72.9667,83.55,71,44,8.23,MV,1616159217
Saskylakh,71.9167,114.0833,-28.75,95,0,8.12,RU,1616159146
Mount Gambier,-37.8333,140.7667,60.8,88,0,6.91,AU,1616159146
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Ancud,-41.8697,-73.8203,50.0,100,90,2.3,CL,1616159181
Aklavik,68.2191,-135.0107,-14.8,76,96,5.75,CA,1616159220
Barrow,71.2906,-156.7887,-4.0,71,90,3.44,US,1616159149
Rabo de Peixe,37.8,-25.5833,62.6,77,20,13.8,PT,1616159220
Saskylakh,71.9167,114.0833,-28.75,95,0,8.12,RU,1616159146
Nabire,-3.3667,135.4833,78.67,87,100,3.15,ID,1616159220
Port Alfred,-33.5906,26.891,71.96,78,94,16.28,ZA,1616159215
Nouadhibou,20.931,-17.0347,73.4,46,0,21.85,MR,1616159221
Castro,-24.7911,-50.0119,69.26,80,43,10.04,BR,1616159162
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
West Point,33.6076,-88.6503,46.4,93,90,8.05,US,1616159222
Puerto Ayora,-0.7393,-90.3518,77.0,91,63,3.36,EC,1616159136
Bambous Virieux,-20.3428,57.7575,84.2,70,40,9.22,MU,1616159216
George Town,5.4112,100.3354,86.0,48,40,5.75,MY,1616159178
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Jamestown,42.097,-79.2353,28.0,58,1,16.35,US,1616159150
Souillac,-20.5167,57.5167,84.2,70,40,9.22,MU,1616159223
Thompson,55.7435,-97.8558,23.0,80,1,2.3,CA,1616159134
Talnakh,69.4865,88.3972,-18.92,94,94,7.78,RU,1616159224
Dvinskoy Bereznik,62.8551,42.7072,20.08,89,100,6.76,RU,1616159224
Paamiut,61.994,-49.6678,25.68,63,100,16.87,GL,1616159224
Qaanaaq,77.484,-69.3632,-10.03,76,100,4.07,GL,1616159144
Ribeira Grande,38.5167,-28.7,64.4,82,40,18.41,PT,1616159225
Dikson,73.5069,80.5464,-31.23,96,0,8.08,RU,1616159177
Constitución,-35.3333,-72.4167,57.79,73,75,4.97,CL,1616159225
Lang Son,21.8333,106.7333,74.84,75,16,6.24,VN,1616159226
Port Macquarie,-31.4333,152.9167,71.6,94,75,14.97,AU,1616159120
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Batagay,67.6333,134.6333,3.15,87,76,5.64,RU,1616159226
Māngrol,21.1167,70.1167,78.13,69,0,13.0,IN,1616159226
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Mahon,39.8885,4.2658,48.2,57,40,17.27,ES,1616159227
Constitución,-35.3333,-72.4167,57.79,73,75,4.97,CL,1616159225
Mahébourg,-20.4081,57.7,84.2,70,40,9.22,MU,1616159135
Bredasdorp,-34.5322,20.0403,73.0,58,100,5.01,ZA,1616159165
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
Adrar,20.5022,-10.0711,88.54,7,0,6.96,MR,1616159228
Ostrovnoy,68.0531,39.5131,10.98,80,0,13.53,RU,1616159153
Dhule,20.9,74.7833,93.06,17,57,4.97,IN,1616159167
Maniitsoq,65.4167,-52.9,23.76,80,100,17.87,GL,1616159229
São Gabriel da Cachoeira,-0.1303,-67.0892,75.2,100,0,2.3,BR,1616159229
Ilulissat,69.2167,-51.1,19.4,53,75,16.11,GL,1616159230
Fougamou,-1.2154,10.5838,89.6,66,40,3.56,GA,1616159230
Port Alfred,-33.5906,26.891,71.96,78,94,16.28,ZA,1616159215
Visby,57.6409,18.296,30.99,51,75,20.71,SE,1616159231
Castro,-24.7911,-50.0119,69.26,80,43,10.04,BR,1616159162
Arraial do Cabo,-22.9661,-42.0278,84.2,70,20,6.91,BR,1616159148
Bluff,-46.6,168.3333,55.0,88,100,5.01,NZ,1616159142
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Bredasdorp,-34.5322,20.0403,73.0,58,100,5.01,ZA,1616159165
Vila Franca do Campo,37.7167,-25.4333,62.6,77,20,13.8,PT,1616159232
Mahébourg,-20.4081,57.7,84.2,70,40,9.22,MU,1616159135
Katsuura,35.1333,140.3,55.4,71,75,10.36,JP,1616159195
Carutapera,-1.195,-46.02,80.69,86,46,2.24,BR,1616159233
Castro,-24.7911,-50.0119,69.26,80,43,10.04,BR,1616159162
Lashio,22.9333,97.75,75.25,26,99,1.45,MM,1616159233
Cabo San Lucas,22.8909,-109.9124,55.99,50,1,5.75,MX,1616159164
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Ereymentau,51.6199,73.1033,29.08,72,82,12.62,KZ,1616159234
Alice Springs,-23.7,133.8833,69.8,64,100,5.75,AU,1616159234
Saint Paul Harbor,57.79,-152.4072,19.4,49,1,8.05,US,1616159235
Fortuna,40.5982,-124.1573,42.01,100,40,8.05,US,1616159145
Lavrentiya,65.5833,-171.0,-17.82,93,13,1.72,RU,1616159235
Thompson,55.7435,-97.8558,23.0,80,1,2.3,CA,1616159134
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Carnarvon,-24.8667,113.6333,82.4,65,0,9.22,AU,1616159148
Jamestown,42.097,-79.2353,28.0,58,1,16.35,US,1616159150
Popondetta,-8.7537,148.2534,74.91,96,100,3.13,PG,1616159236
Thompson,55.7435,-97.8558,23.0,80,1,2.3,CA,1616159134
Pangnirtung,66.1451,-65.7125,-13.0,64,20,2.3,CA,1616159194
Lüderitz,-26.6481,15.1594,71.29,61,93,20.62,NA,1616159237
Angoche,-16.2325,39.9086,85.06,65,42,6.78,MZ,1616159237
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Zeya,53.75,127.2667,12.4,87,40,3.0,RU,1616159238
Port Alfred,-33.5906,26.891,71.96,78,94,16.28,ZA,1616159215
Hazorasp,41.3194,61.0742,64.4,48,0,13.8,UZ,1616159238
Bathsheba,13.2167,-59.5167,80.6,57,40,14.97,BB,1616159215
Jumla,29.2747,82.1838,49.71,40,100,4.54,NP,1616159238
North Bend,43.4065,-124.2243,44.6,93,90,13.8,US,1616159239
Kachīry,53.0675,76.1036,23.14,80,91,15.43,KZ,1616159239
Norman Wells,65.282,-126.8329,-2.2,84,75,13.8,CA,1616159147
Tarakan,3.3,117.6333,82.85,79,100,13.15,ID,1616159240
New Norfolk,-42.7826,147.0587,60.01,69,0,1.1,AU,1616159130
Uray,60.1247,64.7758,26.01,95,95,3.44,RU,1616159240
Hermanus,-34.4187,19.2345,73.0,58,100,5.01,ZA,1616159240
Inhambane,-23.865,35.3833,91.4,55,40,10.36,MZ,1616159240
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Atuona,-9.8,-139.0333,79.68,75,88,12.84,PF,1616159136
Port Alfred,-33.5906,26.891,71.96,78,94,16.28,ZA,1616159215
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Jamestown,42.097,-79.2353,28.0,58,1,16.35,US,1616159150
Kruisfontein,-34.0033,24.7314,66.0,91,100,5.99,ZA,1616159242
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Eureka,40.8021,-124.1637,42.01,91,0,10.02,US,1616159243
Bluff,-46.6,168.3333,55.0,88,100,5.01,NZ,1616159142
Ribeira Grande,38.5167,-28.7,64.4,82,40,18.41,PT,1616159225
Hobart,-42.8794,147.3294,60.01,87,0,4.59,AU,1616159087
Cidreira,-30.1811,-50.2056,73.4,67,99,7.16,BR,1616159216
Honningsvåg,70.9821,25.9704,24.8,86,20,36.82,NO,1616159244
Aljezur,37.3191,-8.8033,62.85,41,81,9.78,PT,1616159244
Kieta,-6.2167,155.6333,80.02,78,66,2.66,PG,1616159244
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Hermanus,-34.4187,19.2345,73.0,58,100,5.01,ZA,1616159240
Tual,-5.6667,132.75,84.2,68,26,7.4,ID,1616159212
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Talnakh,69.4865,88.3972,-18.92,94,94,7.78,RU,1616159224
Ponta do Sol,32.6667,-17.1,64.99,52,20,24.16,PT,1616159147
Avarua,-21.2078,-159.775,77.0,88,20,8.05,CK,1616159144
Ürümqi,43.801,87.6005,32.0,64,0,4.47,CN,1616159246
Sarkand,45.41,79.9186,34.57,55,0,3.8,KZ,1616159246
Ancud,-41.8697,-73.8203,50.0,100,90,2.3,CL,1616159181
Thākurganj,26.45,88.1333,83.16,17,84,4.56,IN,1616159247
Codrington,-38.2667,141.9667,60.55,87,0,8.46,AU,1616159149
Sarkand,45.41,79.9186,34.57,55,0,3.8,KZ,1616159246
Port Lincoln,-34.7333,135.8667,67.69,71,0,14.34,AU,1616159155
Salalah,17.0151,54.0924,84.2,61,0,11.5,OM,1616159247
Bluff,-46.6,168.3333,55.0,88,100,5.01,NZ,1616159142
Avarua,-21.2078,-159.775,77.0,88,20,8.05,CK,1616159144
Nikki,9.9401,3.2108,105.57,21,18,3.04,BJ,1616159248
Pochutla,15.7432,-96.4661,70.0,72,46,3.22,MX,1616159248
Saint George,37.1041,-113.5841,46.4,61,1,2.39,US,1616159143
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
Yellowknife,62.456,-114.3525,14.0,79,40,9.22,CA,1616159210
Korla,41.7597,86.1469,39.78,69,0,4.38,CN,1616158970
Cabo San Lucas,22.8909,-109.9124,55.99,50,1,5.75,MX,1616159164
Rundu,-17.9333,19.7667,84.09,44,83,8.88,NA,1616159244
Shuya,56.8487,41.3883,31.05,86,100,7.0,RU,1616159250
Safaga,26.7292,33.9365,77.0,27,0,17.27,EG,1616159250
Rūdbār,30.15,62.6,94.08,9,50,5.55,AF,1616159250
Kavieng,-2.5744,150.7967,82.81,75,1,9.55,PG,1616159251
Rafaela,-31.2503,-61.4867,64.99,52,100,1.99,AR,1616159251
Deputatsky,69.3,139.9,-15.57,99,100,3.4,RU,1616159251
Port Macquarie,-31.4333,152.9167,71.6,94,75,14.97,AU,1616159120
Bluff,-46.6,168.3333,55.0,88,100,5.01,NZ,1616159142
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
San Cristobal,7.7669,-72.225,73.4,100,75,2.3,VE,1616159145
Caucayá,-0.1934,-74.7819,75.13,85,100,1.12,CO,1616159252
Río Gallegos,-51.6226,-69.2181,53.6,54,0,6.91,AR,1616159102
Srednekolymsk,67.45,153.6833,-26.84,97,0,3.22,RU,1616159186
Lagoa,39.05,-27.9833,59.2,81,13,15.12,PT,1616159155
George Town,5.4112,100.3354,86.0,48,40,5.75,MY,1616159178
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
East London,-33.0153,27.9116,66.2,88,75,17.27,ZA,1616159145
Cooma,-36.2333,149.1333,53.6,100,90,1.14,AU,1616159254
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Luanda,-8.8368,13.2343,87.8,70,40,12.66,AO,1616159254
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Port Alfred,-33.5906,26.891,71.96,78,94,16.28,ZA,1616159215
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
Russell,32.3502,-85.1999,50.0,66,90,9.22,US,1616159255
Port Alfred,-33.5906,26.891,71.96,78,94,16.28,ZA,1616159215
Kolpashevo,58.3131,82.9089,27.1,87,100,12.55,RU,1616159256
Pasil,17.3833,121.1333,66.0,97,100,0.94,PH,1616159256
Lüderitz,-26.6481,15.1594,71.29,61,93,20.62,NA,1616159237
Reconquista,-29.15,-59.65,64.98,62,100,7.65,AR,1616159256
Tiksi,71.6872,128.8694,-6.34,94,98,13.02,RU,1616159031
Castro,-24.7911,-50.0119,69.26,80,43,10.04,BR,1616159162
Atbasar,51.8,68.3333,31.14,77,100,13.06,KZ,1616159257
Vanimo,-2.6741,141.3028,79.34,80,99,1.5,PG,1616159257
Hermanus,-34.4187,19.2345,73.0,58,100,5.01,ZA,1616159240
Hilo,19.7297,-155.09,66.2,82,75,4.5,US,1616159142
Kapaa,22.0752,-159.319,69.8,83,90,13.8,US,1616159192
Ostrovnoy,68.0531,39.5131,10.98,80,0,13.53,RU,1616159153
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Necochea,-38.5473,-58.7368,61.0,66,0,8.01,AR,1616159258
Bulolo,-7.2,146.65,71.64,96,100,0.87,PG,1616159259
Moscow,55.7522,37.6156,34.0,55,0,8.95,RU,1616159180
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Emboscada,-25.15,-57.35,75.2,73,0,3.44,PY,1616159259
Bambous Virieux,-20.3428,57.7575,84.2,70,40,9.22,MU,1616159216
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
Padang,-0.9492,100.3543,80.6,83,75,1.14,ID,1616158908
Port Alfred,-33.5906,26.891,71.96,78,94,16.28,ZA,1616159215
Ahipara,-35.1667,173.1667,57.13,84,1,7.65,NZ,1616159172
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
Hilo,19.7297,-155.09,66.2,82,75,4.5,US,1616159142
Ostrovnoy,68.0531,39.5131,10.98,80,0,13.53,RU,1616159153
San Rafael,-34.6177,-68.3301,61.57,60,2,9.37,AR,1616159261
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Hermanus,-34.4187,19.2345,73.0,58,100,5.01,ZA,1616159240
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Ulladulla,-35.35,150.4667,64.4,100,75,12.66,AU,1616159262
Avarua,-21.2078,-159.775,77.0,88,20,8.05,CK,1616159144
Krasnokamensk,50.0979,118.0369,19.09,85,100,3.51,RU,1616159262
Saint Paul Harbor,57.79,-152.4072,19.4,49,1,8.05,US,1616159235
Hobyo,5.3505,48.5268,84.47,68,64,15.95,SO,1616159263
Ekhabi,53.5102,142.9671,11.89,90,0,10.56,RU,1616159263
Dunedin,-45.8742,170.5036,55.99,73,90,1.99,NZ,1616159263
Diffa,13.3154,12.6113,105.1,10,0,4.25,NE,1616159264
Bluff,-46.6,168.3333,55.0,88,100,5.01,NZ,1616159142
Quelimane,-17.8786,36.8883,84.58,71,30,6.35,MZ,1616159264
Hithadhoo,-0.6,73.0833,81.64,76,100,14.92,MV,1616159156
Jaciara,-15.9653,-54.9683,72.46,94,100,4.34,BR,1616159264
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Kattivākkam,13.2167,80.3167,82.4,61,20,9.22,IN,1616159214
Cuiluan,47.72,128.648,26.73,73,86,2.04,CN,1616159265
Clyde River,70.4692,-68.5914,-20.2,69,1,5.75,CA,1616159265
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
Narsaq,60.9167,-46.05,26.6,43,75,5.75,GL,1616159266
Terre Haute,39.4667,-87.4139,33.8,55,1,14.97,US,1616159266
Dingle,10.9995,122.6711,78.73,77,0,6.29,PH,1616159266
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Kapaa,22.0752,-159.319,69.8,83,90,13.8,US,1616159192
Fortuna,40.5982,-124.1573,42.01,100,40,8.05,US,1616159145
Port-Cartier,50.0334,-66.8654,9.0,47,20,14.97,CA,1616159267
Souillac,-20.5167,57.5167,84.2,70,40,9.22,MU,1616159223
Byron Bay,-28.65,153.6167,71.6,94,40,4.61,AU,1616159087
Alofi,-19.0595,-169.9187,75.2,94,100,5.75,NU,1616159180
Ribeira Grande,38.5167,-28.7,64.4,82,40,18.41,PT,1616159225
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Kapaa,22.0752,-159.319,69.8,83,90,13.8,US,1616159192
Hofn,64.2539,-15.2082,44.6,100,90,17.27,IS,1616159269
Dingle,10.9995,122.6711,78.73,77,0,6.29,PH,1616159266
Salisbury,51.0693,-1.7957,50.0,71,75,17.27,GB,1616159269
Bredasdorp,-34.5322,20.0403,73.0,58,100,5.01,ZA,1616159165
Fortuna,40.5982,-124.1573,42.01,100,40,8.05,US,1616159145
Tasiilaq,65.6145,-37.6368,28.4,86,20,9.22,GL,1616159130
Bluff,-46.6,168.3333,55.0,88,100,5.01,NZ,1616159142
São Filipe,14.8961,-24.4956,74.8,65,0,6.08,CV,1616159271
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
East London,-33.0153,27.9116,66.2,88,75,17.27,ZA,1616159145
Vila Franca do Campo,37.7167,-25.4333,62.6,77,20,13.8,PT,1616159232
Homer,59.6425,-151.5483,19.0,61,1,3.44,US,1616159272
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Vaini,-21.2,-175.2,75.2,94,20,2.3,TO,1616159151
Avarua,-21.2078,-159.775,77.0,88,20,8.05,CK,1616159144
Port Hardy,50.6996,-127.4199,46.4,93,90,11.5,CA,1616159272
Juneau,58.3019,-134.4197,33.01,74,90,13.8,US,1616159273
Port Alfred,-33.5906,26.891,71.96,78,94,16.28,ZA,1616159215
Dikson,73.5069,80.5464,-31.23,96,0,8.08,RU,1616159177
Bilma,18.6853,12.9164,102.24,7,27,4.88,NE,1616159176
Tūkrah,32.5341,20.5791,72.93,38,100,12.64,LY,1616159273
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Yellowknife,62.456,-114.3525,14.0,79,40,9.22,CA,1616159210
Atuona,-9.8,-139.0333,79.68,75,88,12.84,PF,1616159136
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Bambous Virieux,-20.3428,57.7575,84.2,70,40,9.22,MU,1616159216
Jamestown,42.097,-79.2353,28.0,58,1,16.35,US,1616159150
Cherskiy,68.75,161.3,-30.01,100,0,2.8,RU,1616159275
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
Pochutla,15.7432,-96.4661,70.0,72,46,3.22,MX,1616159248
